date,title,url,country,,,,,,
14.3.2020,Yhdistynyt kuningaskunta kieltää massatapahtumat ensi viikosta alkaen,https://www.politico.eu/article/uk-to-begin-banning-mass-gatherings-next-week/,Yhdistynyt kuningaskunta,,,,,https://www,politico
13.3.2020,"Belgia sulkee koulut, baarit ja ravintolat",https://www.politico.eu/article/belgium-closes-schools-bars-and-restaurants/,Belgia,,,,,https://www,politico
14.3.2020,Saksa lähettää Italiaan kasvosuojia ,https://www.politico.eu/article/germany-to-send-face-masks-to-italy-to-help-deal-with-coronavirus/,Saksa/Italia,,,,,https://www,politico
14.3.2020,Suomessa valmius­lain käyttöönotto­asetuksen valmistelu aloitettu,https://www.hs.fi/politiikka/art-2000006439482.html,Suomi,,,,,https://www,hs
12.3.2020,Viro sulkee koulut ja kannustaa vanhempia pitämään päiväkotilapset kotona,https://www.mtvuutiset.fi/artikkeli/viro-sulkee-koulut-ja-kannustaa-vanhempia-pitamaan-paivakotilapset-kotona-ranskassakin-opinahjot-sulkevat-ovensa-olemme-vasta-kriisin-alussa/7760308#gs.1026znr,Viro,,,,,https://www,mtvuutiset
14.3.2020,Norja sulkee lento­kentät ja satamat,https://www.hs.fi/kotimaa/art-2000006436071.html,Norja,,,,,https://www,hs
14.3.2020,"Ranska sulkee kaikki ""ei välttämättömät""- julkiset tilat",https://www.bbc.com/news/world-europe-51892477,Ranska,,,,,https://www,bbc
15.3.2020,USA lisää Irlannin ja UK:n matkustuskieltoon,https://www.reuters.com/article/us-health-coronavirus-usa-travel-exclusi/exclusive-u-s-to-add-britain-ireland-to-european-travel-ban-airline-u-s-officials-idUSKBN2110UF,Yhdysvallat,,,,,https://www,reuters
15.3.2020,Itävalta julisti ottavansa käyttöön järeät matkustusrajoitukset,https://www.reuters.com/article/us-health-coronavirus-austria/austria-announces-major-restrictions-on-movement-over-coronavirus-idUSKBN2120D8,Itävalta,,,,,https://www,reuters
15.3.2020,"Saksa sulkee rajat Ranskaan, Sveitsiin ja Itävaltaan",https://www.spiegel.de/politik/deutschland/coronavirus-deutschland-schliesst-grenzen-zu-frankreich-oesterreich-und-der-schweiz-a-9910fb81-f635-4be5-8138-bcbcbfd491d4,Saksa,,,,,https://www,spiegel
15.3.2020,Viro sulkee tiistaina rajansa ulkomaalaisilta,https://www.hs.fi/kotimaa/art-2000006440085.html,Viro,,,,,https://www,hs
14.3.2020,Yhdysvallat laajentaa matkustuskieltonsa koskemaan myös Iso-Britanniaa ja Irlantia,https://www.politico.eu/article/coronavirus-trump-uk-ireland-travel-ban/,,,,,,https://www,politico
15.3.2020,Kolumbia estää maahantulon kaikilta kaikilta muilta paitsi sen omilta kansalaisilta,https://www.reuters.com/article/us-health-coronavirus-colombia/colombia-will-block-entry-by-all-non-residents-from-monday-to-stop-coronavirus-idUSKBN21211B?il=0,Kolumbia,,,,,https://www,reuters
16.3.2020,Algeria asettaa matkustusrajoituksen Eurooppaan,https://www.reuters.com/article/us-health-coronavirus-algeria/algerian-to-suspend-travel-with-europe-statement-idUSKBN2131ER?il=0,Algeria,,,,,https://www,reuters
16.3.2020,Egypti pysäyttää lennot hillitäkseen koronaviruksen leviämistä,https://www.reuters.com/article/us-health-coronavirus-egypt/egypt-to-halt-flights-from-thursday-to-halt-spread-of-coronavirus-idUSKBN213222?il=0,Egypti,,,,,https://www,reuters
16.3.2020,Tunisia sulkee Libyan vastaisen rajansa,https://www.reuters.com/article/us-health-coronavirus-tunisia-libya/tunisian-land-border-with-libya-closed-minister-idUSKBN213213?il=0,Tunisia,,,,,https://www,reuters
16.3.2020,Euroopan komission puheenjohtaja Vonderleyen ehdottaa rajojen sulkemista määräajaksi,https://www.reuters.com/article/us-health-coronavirus-eu-vonderleyen/eu-executive-proposes-shutting-blocs-external-borders-for-30-days-idUSKBN2132K7?il=0,EU,,,,,https://www,reuters
16.3.2020,Tässä ovat kaikki hallituksen poikkeukselliset toimet koronaviruksen hillitsemiseksi – vaikuttavat lähes jokaisen kansalaisen arkeen,https://www.hs.fi/politiikka/art-2000006441020.html,Suomi,,,,,,hs
17.3.2020,Ranska komentaa 100000 poliisia valvomaan ulkonaliikkumiskieltoja ,https://www.france24.com/en/20200317-france-to-deploy-100-000-police-to-enforce-its-war-on-coronavirus,Ranska,,,,,,france24
17.3.2020,Eurooppa suunnittelee kokonaisvaltaista rajojen sulkemista taistelussa pandemiaa vastaan,https://www.bbc.com/news/world-europe-51918596,EU,,,,,,bbc
17.3.2020,Ukraina suunnittelee uusia rajoituksia hillitäkseen koronaviruksen leviämistä,https://www.reuters.com/article/us-health-coronavirus-ukraine/ukraine-plans-more-lockdowns-imf-talks-food-export-curbs-over-coronavirus-idUSKBN2131DE?il=0,Ukraina,,,,,,reuters
17.3.2020,Valkoinen talo ryhtyy poikkeuksellisiin toimiin kasvattaakseen koronaviruksen testauskapasiteettia,https://www.politico.com/news/2020/03/16/white-house-swat-technocrats-testing-133126,Yhdysvallat,,,,,,politico
17.3.2020,"Indonesia confirms 38 more coronavirus cases, total rises to 172",https://www.reuters.com/article/us-health-coronavirus-indonesia/indonesia-confirms-38-more-coronavirus-cases-total-rises-to-172-idUSKBN214183?il=0,Indonesia,,,,,,reuters
17.3.2020,Yhdysvalloissa senaatti harkitsee massiivista hätärahastoa koronaviruspandemian vuoksi,https://www.reuters.com/article/us-health-coronavirus-usa-congress/senate-weighs-emergency-coronavirus-pandemic-funds-trump-seeks-850-billion-more-idUSKBN21420L?il=0,Yhdysvallat,,,,,,reuters
17.3.2020,Ylen erikoislähetys koronatilanteesta käynnissä: Hallitus kertoo valmiuslain käyttöönotosta – seuraamme hetki hetkeltä,https://yle.fi/uutiset/3-11261530,Suomi,,,,,,YLE
17.3.2020,Valtioneuvoston kanslia: Poikkeusolojen toteaminen,https://valtioneuvosto.fi/paatokset/paatos?decisionId=0900908f8068ec10,Suomi,,,,,,VNK
17.3.2020,Hallitus antoi kaksi valmius­lain käyttöön­otto­asetusta – lääkkeiden myyntiä voidaan rajoittaa,https://www.is.fi/politiikka/art-2000006442895.html,Suomi,,,,,,Ilta-Sanomat
17.3.2020,Suomi sulkee rajat 19.3. klo 00 – Pekka Haavisto: ”Tämä on erittäin vahva viesti nyt kaikille: ei ulkomaan-matkoja”,https://www.uusisuomi.fi/uutiset/suomi-sulkee-rajat-193-klo-00-pekka-haavisto-tama-on-erittain-vahva-viesti-nyt-kaikille-ei-ulkomaan-matkoja/341d2d8c-9b76-4cfb-bc28-eff432f96d07,Suomi,,,,,,Uusi Suomi
17.3.2020,Britannian ulkoministeri Dominic Raab kehoitti kansalaisia lopettamaan kaiken matkustamisen,https://www.reuters.com/article/us-health-coronavirus-britain-travel/britons-should-stop-all-non-essential-travel-globally-foreign-minister-idUSKBN21428X?il=0,Yhdistynyt kuningaskunta,,,,,,reuters
17.3.2020,"Hallitus otti heti käyttöön mahdollisuuden rajoittaa lääkkeiden myyntiä – Nämä asiat muuttuvat, kun osia valmiuslaista tulee voimaan",https://www.hs.fi/politiikka/art-2000006443145.html,,,,,,,hs
17.3.2020,EU sulki rajat ulkopuolisilta,https://www.ts.fi/uutiset/maailma/4897582/EU+sulki+rajat+ulkopuolisilta+koronan+vuoksi++vain+valttamaton+liikenne+paasee+unionin+puolelle,EU,,,,,,TS
19.3.2020,Saksassa armeija valmiustilaan,https://www.reuters.com/article/health-coronavirus-germany-defence/update-1-german-army-on-standby-to-help-with-coronavirus-crisis-idUSL8N2BC5QD,Saksa,,,,,,Reuters
20.3.2020,Kaliforniassa asukkaat käskettiin pysymään kotona,https://www.bbc.com/news/world-us-canada-51970815,Yhdysvallat,,,,,,BBC
17.3.2020,"Näin korona­virus näkyy armeijassa: Virka-apu­pyyntöihin varauduttu, varus­miehiä siirretty teltta­majoitukseen ja lomia peruttu",https://www.hs.fi/kotimaa/art-2000006442706.html,Suomi,,,,,,HS
17.3.2020,Aluehallintovirastot määräävät oppilaitokset suljettavaksi ja kieltävät yli 10 hengen yleisötilaisuudet,http://www.avi.fi/web/avi/-/aluehallintovirastot-maaraavat-oppilaitokset-suljettavaksi-ja-kieltavat-yli-10-hengen-yleisotilaisuudet,Suomi,,,,,,avi
17.3.2020,Helmet-kirjastot suljettuina koronavirusepidemian aikana ,https://www.helmet.fi/fi-FI/Tapahtumat_ja_vinkit/Uutispalat/Helmetkirjastot_suljettuina_koronaviruse(209231),Suomi,,,,,,helmet
20.3.2020,Coronavirus: California issues 'stay at home' order to 40 million residents ,https://news.sky.com/story/coronavirus-california-issues-stay-at-home-order-to-40-million-residents-11960646,Yhdysvallat,,,,,,Sky News
20.3.2020,Germans warned: Keep your distance or face a curfew,https://www.reuters.com/article/us-health-coronavirus-germany/germans-warned-keep-your-distance-or-face-a-curfew-idUSKBN21716B?il=0,Saksa,,,,,,reuters
20.3.2020,Singapore launches contact tracing mobile app to track coronavirus infections,https://www.reuters.com/article/us-health-coronavirus-singapore-technolo/singapore-launches-contact-tracing-mobile-app-to-track-coronavirus-infections-idUSKBN2171ZQ,Singapore,,,,,,reuters
21.3.2020,FEMA issues 'Major Disaster Declaration' for New York,https://nypost.com/2020/03/20/fema-issues-major-disaster-declaration-for-new-york-over-coronavirus/,Yhdysvallat,,,,,,nypost
