date,title,url,sourceName
14.3.2020,"THL:n tutkimusprofessori emeritus koronaepidemiasta: ""Useimmat COVID-19 kuolemat eivät ole väistämättömiä""",https://www.maaseuduntulevaisuus.fi/kotimaa/artikkeli-1.1020202,Maaseudun Tulevaisuus
17.3.2020,Hallitus julisti poikkeusolot,https://www.uusisuomi.fi/uutiset/us/39501cca-6a5d-4e4b-8b4e-a7201988f995,Uusi Suomi
17.3.2020,"Hallitus tiedottaa valmiuslaista tänään kello 15, Suomessa tehty 3 000 koronavirustestiä",https://www.hs.fi/kotimaa/art-2000006440845.html,HS
17.3.2020,Coronavirus: Australian scientists map how immune system fights virus,https://www.bbc.com/news/world-australia-51921403,BBC
16.3.2020,"Coronavirus drugs: Who's doing what, and when they might come",https://medicalxpress.com/news/2020-03-coronavirus-drugs.html,medicalxpress
16.3.2020,WHO chief calls for widespread virus testing as Europe locks down,https://medicalxpress.com/news/2020-03-case-covid-.html,medicalxpress
17.3.2020,Koronakriisi on jo saanut Ruotsin kysymään ruokaa Suomesta – Naapurimaan omavaraisuusaste historiallisen alhainen,https://www.maaseuduntulevaisuus.fi/ruoka/artikkeli-1.1022446?fbclid=IwAR2e7rLl9BUWD7Kp-ZuU4wHGty4cTfluWZWM6GHrrn5VHcd9UYY3f20XeGY,Maaseudun Tulevaisuus
16.3.2020,Hong Kong Shutdown a Lesson to the World in Halting Virus,https://www.bloomberg.com/news/articles/2020-03-16/hong-kong-shutdown-is-a-lesson-to-the-world-in-halting-the-virus,Bloomberg
17.3.2020,"Europe’s Doctors Repeat Errors Made in Wuhan, China Medics Say",https://www.bloomberg.com/news/articles/2020-03-17/europe-s-doctors-getting-sick-like-in-wuhan-chinese-doctors-say?srnd=premium-europe,Bloomberg
17.3.2020,Coronavirus upends justice system as states close courts and halt trials,https://www.nbcnews.com/news/us-news/coronavirus-upends-justice-system-states-close-courts-halt-trials-n1160961,NBC
17.3.2020,"Professori Lasse Lehtonen: Jos koronaan sairastuneita on 35 prosenttia, tehohoitoa voidaan antaa 15 prosentille sitä tarvitsevista ",https://www.iltalehti.fi/koronavirus/a/ef9d8f81-ab6d-4ac4-92e1-8b59bdad5702,Iltalehti
17.3.2020,Helsinki avaa toisen koronaterveysaseman Malmille – toimi näin ennen terveysasemalle menoa,https://www.iltalehti.fi/koronavirus/a/7a70930f-2f55-47e9-beb5-879a3472824b,Iltalehti
17.3.2020,Suomessa yli 300 koronavirustartuntaa – osa tarvinnut sairaalahoitoa,https://www.iltalehti.fi/koronavirus/a/94bda098-1ca1-466e-a55b-b467e901d013,Iltalehti
17.3.2020,"Uusimmat tiedot koronaviruksesta: Suomessa nyt 319 varmennettua tartuntaa, Matkailu- ja ravintola-alan liikevaihdosta suli 70 prosenttia, Kiinassa vain yksi tartunta",https://yle.fi/uutiset/3-11212596,YLE
17.3.2020,Sweeping restrictions take effect in coronavirus response as health officials warn US is at a tipping point,https://edition.cnn.com/2020/03/17/health/us-coronavirus-updates-tuesday/index.html,CNN
17.3.2020,"Trump, finally, takes the coronavirus emergency seriously",https://edition.cnn.com/2020/03/17/politics/white-house-donald-trump-coronavirus-emergency/index.html,CNN
17.3.2020,Ranskalaiset ul­ko­na­liik­ku­mis­kiel­toon – puo­lus­tus­voi­mat valjastetaan sairaaloiden avuksi,https://www.kaleva.fi/uutiset/ulkomaat/ranskalaiset-ulkonaliikkumiskieltoon-puolustusvoimat-valjastetaan-sairaaloiden-avuksi/837005/,Kaleva
17.3.2020,Tähän Suomen hallitus perustaa ratkaisunsa: Huhtikuun lopulla jopa 6 000 suomalaista voi olla sairaalassa koronan takia,https://yle.fi/uutiset/3-11261761,YLE
17.3.2020,Kaiken takana on loinen: Tämä tulee kestämään kauan,https://www.tiede.fi/blogit/kaiken-takana-loinen/tama-tulee-kestamaan-kauan,Tiede
17.3.2020,Turkey detains 19 people over 'provocative' coronavirus posts,https://www.reuters.com/article/us-health-coronavirus-turkey/turkey-detains-19-people-over-provocative-coronavirus-posts-idUSKBN2140T9?il=0,Reuters
17.3.2020,Suomi sulki itsensä selvästi aiemmin kuin Wuhan ja Italia – Strategia on nyt ottaa tauti hitaasti vastaan muissa kuin riskiryhmissä,https://www.hs.fi/tiede/art-2000006442606.html,HS
17.3.2020,"Hallitus julkaisi koronamuistion – ennusteen mukaan jopa 3 miljoonaa suomalaista voi sairastua, 540 – 3 240 kuolla",https://www.is.fi/politiikka/art-2000006442474.html,Ilta-Sanomat
17.3.2020,"Sijoituspankki JPMorgan arvioi, että Italian pandemiahuippu on seitsemän päivän kuluttua",https://www.reuters.com/article/uk-health-coronavirus-jpm-idUKKBN2141CG?taid=5e70e5aae6e3ff0001400c0b&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter,Reuters
17.3.2020,Espanjassa nyt lähes 500 koronavirukseen kuollutta,https://www.bbc.com/news/world-europe-51927790,BBC
